x,y,z,feature_name,cell_id,transcript_id,codeword_category,qv,overlaps_nucleus,is_gene,fov_name,codeword_index,nucleus_distance,cellpose_30
1489.3438,974.3906,21.109375,AQP4,UNASSIGNED,281547991162645,custom_gene,40.0,0,True,B4,248,6.078125,0
1498.1094,958.5469,19.25,AQP4,UNASSIGNED,281547991162671,custom_gene,37.5,0,True,B4,248,0.5625,1
1487.7344,982.90625,19.9375,CD163,dpcdonab-1,281547991165999,custom_gene,36.75,1,True,B4,272,0.0,40
1494.6406,965.3594,24.125,GJA1,UNASSIGNED,281547991157970,custom_gene,40.0,0,True,B4,172,5.046875,1
1494.4688,967.34375,17.09375,HSP90AA1,UNASSIGNED,281547991156735,custom_gene,22.0,0,True,B4,77,6.78125,0
1495.4219,972.9375,15.90625,HSP90AA1,UNASSIGNED,281547991156737,custom_gene,35.75,0,True,B4,77,8.203125,30
1496.3281,957.8125,15.96875,HSP90AA1,UNASSIGNED,281547991156738,custom_gene,37.25,0,True,B4,77,2.453125,1
1496.0469,973.375,21.546875,HSP90AA1,UNASSIGNED,281547991157975,custom_gene,40.0,0,True,B4,77,8.09375,30
1496.2656,963.375,19.046875,HSP90AB1,UNASSIGNED,281547991162665,custom_gene,40.0,0,True,B4,166,2.484375,1
1499.6406,964.5469,23.875,SORCS1,UNASSIGNED,281547991161630,custom_gene,37.0,0,True,B4,10,3.046875,1
1491.4062,971.4219,23.0625,SOX9,UNASSIGNED,281547991155350,custom_gene,40.0,0,True,B4,365,8.84375,0
1499.2812,1203.125,23.5,ANXA1,eejjcdgh-1,281547991160379,custom_gene,40.0,1,True,B4,8,0.0,298
1488.7969,1175.7812,24.375,APP,eeiegmep-1,281547991154852,custom_gene,40.0,1,True,B4,199,0.0,255
1491.1719,1129.1406,19.34375,APP,eeigoccd-1,281547991154854,custom_gene,40.0,0,True,B4,199,7.78125,0
1492.5156,1128.9375,20.53125,APP,eeigoccd-1,281547991154857,custom_gene,40.0,0,True,B4,199,8.25,0
1493.0,1129.4062,20.625,APP,eeigoccd-1,281547991154858,custom_gene,40.0,0,True,B4,199,7.953125,0
1497.9219,1176.0625,17.265625,APP,UNASSIGNED,281547991154864,custom_gene,40.0,0,True,B4,199,3.078125,260
1490.6094,1129.2031,20.484375,APP,eeigoccd-1,281547991160051,custom_gene,21.0,0,True,B4,199,7.6875,0
1497.2344,1135.0625,16.546875,APP,eeigoccd-1,281547991160054,custom_gene,21.0,0,True,B4,199,6.109375,0
1497.4531,1175.6562,18.765625,APP,UNASSIGNED,281547991160055,custom_gene,21.0,0,True,B4,199,3.625,0
1498.4219,1183.7344,17.0,APP,eeiffflm-1,281547991160058,custom_gene,40.0,1,True,B4,199,0.0,260
1499.7812,1133.8281,16.90625,APP,eeigoccd-1,281547991160059,custom_gene,34.5,0,True,B4,199,8.9375,0
1494.2969,1101.875,23.109375,APP,eeigoohc-1,281547991164936,custom_gene,40.0,1,True,B4,199,0.0,167
1490.8906,1006.1719,21.9375,AQP4,UNASSIGNED,281547991162651,custom_gene,24.0,0,True,B4,248,12.625,0
1490.8906,1057.1719,15.328125,AQP4,UNASSIGNED,281547991162652,custom_gene,27.25,0,True,B4,248,11.046875,0
1490.2031,1118.3594,23.328125,B4GALNT1,UNASSIGNED,281547991155674,custom_gene,38.25,0,True,B4,303,9.0,0
1492.1406,1150.2969,23.65625,BCAN,eeifmmnc-1,281547991156731,custom_gene,40.0,1,True,B4,279,0.0,231
